conv_id,sentence,gold_label,subject_id,object_id,relation,subject_name,object_name,context_length,subject,object,pred_label,pos_score_raw,neg_score_raw,strength,confidence,margin,max_score,is_likely_neutral,pos_words,neg_words
108,"(-1 Turn: N/A) (Target Turn: Speaker 1: Goodnight.) (+1 Turn: Speaker 2: Um, thank you for the gift.)",positive,108_Spkr_1,Joey,per:friends,Speaker 1,Joey,101,Speaker 1,Joey,positive,0.44,-0.0,0.4831486655083008,1.0,0.44,0.44,False,0.44,0.0
61,"(-1 Turn: Speaker 1: So weird to see all these people again... Oh my God, look, there's Geoffrey Cleric.) (Target Turn: Speaker 2: Who?) (+1 Turn: Speaker 1: He was roommates with John Rosoff. He went out with Andrea Tamburino. She dumped him for Michael Skloff.)",neutral,61_Spkr_2,John Rosoff,per:friends,Speaker 2,John Rosoff,263,Speaker 2,John Rosoff,negative,0.0,-0.31,0.3718648948103592,1.0,0.31,0.31,False,0.0,0.38
132,"(-1 Turn: N/A) (Target Turn: Speaker 1: Oh that’s great, my friend Joey’s in the movie business.) (+1 Turn: Speaker 2: Y’know who I ran into from school? Howie.)",positive,Joey,132_Spkr_1,per:friends,Joey,Speaker 1,161,Joey,Speaker 1,positive,0.26,-0.0,0.32294312550183535,1.0,0.26,0.26,False,0.26,0.0
83,"(-1 Turn: Speaker 1: Oh, y’know what, that might be okay even if it was just kind of a fling, that might be all right with Rachel.) (Target Turn: Speaker 3: Whoa-whoa-whoa-whoa! Is this, hot Rachel, that you took to the Christmas party, Rachel?) (+1 Turn: Speaker 1: Oh, by the way, that is her full name.)",positive,83_Spkr_3,Rachel,per:positive_impression,Speaker 3,Rachel,306,Speaker 3,Rachel,positive,0.44,-0.0,0.4831486655083008,1.0,0.44,0.44,False,0.47,0.0
194,"(-1 Turn: Speaker 1: Yeah, she never misses these conferences! No, I just saw Dr. Kenneth Schwartz!) (Target Turn: Speaker 3: Oh my God! Did you talk to him?) (+1 Turn: Speaker 1: Yeah... what am I going to say to Kenneth Schwartz?)",positive,194_Spkr_3,Kenneth Schwartz,per:positive_impression,Speaker 3,Kenneth Schwartz,232,Speaker 3,Kenneth Schwartz,negative,0.0,-0.31,0.3718648948103592,1.0,0.31,0.31,False,0.21,0.38
167,"(-1 Turn: Speaker 1: O-o-o-okay, how did it go? Tell me everything.) (Target Turn: Speaker 2: Well, the movie was great, dinner was great, and there's nothing like a cool, crisp New York evening.) (+1 Turn: Speaker 1: Hmm.)",positive,167_Spkr_2,167_Spkr_3,per:positive_impression,Speaker 2,Speaker 3,223,Speaker 2,Speaker 3,positive,0.53,-0.0,0.5484187650774077,1.0,0.53,0.53,False,0.53,0.0
55,"(-1 Turn: Speaker 1: No shouting, but we still need a name for this little guy.) (Target Turn: Speaker 2: How 'bout Ben?) (+1 Turn: Speaker 1: I like Ben.)",positive,55_Spkr_2,Ben,per:positive_impression,Speaker 2,Ben,155,Speaker 2,Ben,negative,0.26,-0.26,0.32294312550183535,0.0,0.0,0.26,True,0.26,0.38
312,"(-1 Turn: Speaker 1: Turns out them Emily is just crazy about Susan. Yeah, they’re going to the theatre together! They’re going to dinner! They’re going horseback riding!) (Target Turn: Speaker 4: God, Susan is so fun!) (+1 Turn: Speaker 1: Look, this is just a little too familiar, okay? For like, for like six months before Carol and I spilt up, all I heard was: ""My friend Susan is so smart. My friend Susan is so funny. My friend Susan is so great."")",positive,312_Spkr_4,Susan,per:positive_impression,Speaker 4,Susan,454,Speaker 4,Susan,positive,0.4,-0.22,0.4511883639059736,0.2903225806451613,0.18000000000000002,0.4,False,0.48,0.29
197,"(-1 Turn: Speaker 3: Oh, uh, I... don't... care.  Ok, now, remember, no trading. You get the pretty one, I get the mess.) (Target Turn: Speaker 4: Hi, Joey. Well well, look what you brought. Very nice.) (+1 Turn: Speaker 3: ...And what did you bring?)",positive,197_Spkr_4,197_Spkr_5,per:positive_impression,Speaker 4,Speaker 5,251,Speaker 4,Speaker 5,positive,0.5,-0.28,0.5276334472589853,0.282051282051282,0.21999999999999997,0.5,False,0.5,0.34
210,"(-1 Turn: Speaker 1: So uh, you and Mona, been a while now. How’s it going?) (Target Turn: Speaker 2: Ah, it’s good. It’s going good. I mean, we get along great. She’s, she’s so…) (+1 Turn: Speaker 1: Hot?)",positive,210_Spkr_2,Mona,per:positive_impression,Speaker 2,Mona,206,Speaker 2,Mona,positive,0.44,-0.0,0.4831486655083008,1.0,0.44,0.44,False,0.44,0.0
31,"(-1 Turn: N/A) (Target Turn: Speaker 1: Oh! You're awake!) (+1 Turn: Speaker 2: Look at you! How, how do you feel?)",positive,31_Spkr_1,31_Spkr_3,per:positive_impression,Speaker 1,Speaker 3,115,Speaker 1,Speaker 3,positive,0.29,-0.0,0.35273533292196535,1.0,0.29,0.29,False,0.29,0.0
183,"(-1 Turn: Speaker 2: Oh, is there a problem?) (Target Turn: Speaker 1: No. No. Every thing's--they're fine. Great pizza. But it's uh, actually umm my friend Ross. He uh, just gets really nervous when he's flirting.) (+1 Turn: Speaker 2: Oh my God! That was flirting?!)",positive,Ross,183_Spkr_2,per:positive_impression,Ross,Speaker 2,268,Ross,Speaker 2,positive,0.42,-0.3,0.4674081989931028,0.16666666666666666,0.12,0.42,False,0.46,0.42
205,"(-1 Turn: Speaker 1: Y'know what, you should like, you should buy a state and then just name it after yourself.) (Target Turn: Speaker 3: What like Pete Dakota?) (+1 Turn: Speaker 1: Yeah, or, or, or, Mississ-Pete.)",positive,205_Spkr_3,205_Spkr_6,per:positive_impression,Speaker 3,Speaker 6,215,Speaker 3,Speaker 6,positive,0.4,-0.0,0.4511883639059736,1.0,0.4,0.4,False,0.46,0.0
313,"(-1 Turn: Speaker 1: So, what did you decide?) (Target Turn: Speaker 2: I decided to pee.) (+1 Turn: Speaker 3: Mike didn't tell you? You have to choose one of us to be in your wedding. One of his groomsmen fell out.)",positive,313_Spkr_2,313_Spkr_1,per:positive_impression,Speaker 2,Speaker 1,217,Speaker 2,Speaker 1,negative,0.0,-0.22,0.28107626656807383,1.0,0.22,0.22,False,0.0,0.4
261,(-1 Turn: N/A) (Target Turn: Speaker 1: Wine?) (+1 Turn: Speaker 2: Please.),neutral,261_Spkr_1,261_Spkr_2,per:positive_impression,Speaker 1,Speaker 2,76,Speaker 1,Speaker 2,positive,0.36,-0.0,0.41725174762601036,1.0,0.36,0.36,False,0.36,0.0
111,"(-1 Turn: Speaker 2: Oh, man! I can't believe she's actually leaving. How am I gonna say goodbye to Rachel?) (Target Turn: Speaker 6: I know, she's been such a big part of my life. And it feels like when Melrose Place got cancelled. I mean... oh, forget it. I miss Melrose Place!) (+1 Turn: Speaker 4: You know, I had a chance to stop her too!)",positive,111_Spkr_6,111_Spkr_3,per:positive_impression,Speaker 6,Speaker 3,344,Speaker 6,Speaker 3,positive,0.32,-0.25,0.38121660819385916,0.12280701754385964,0.07,0.32,False,0.32,0.25
276,"(-1 Turn: Speaker 2: Hey!) (Target Turn: Speaker 1: Guess what. Frank Jr., and Alice got married!) (+1 Turn: Speaker 2: Oh my God!!)",positive,Alice,Frank Jr.,per:girl/boyfriend,Alice,Frank Jr.,132,Alice,Frank Jr.,negative,0.0,-0.0,0.0,0.0,0.0,0.0,True,0.0,0.0
18,"(-1 Turn: N/A) (Target Turn: Speaker 1: All right Emily, as much as I love you, I'm sorry, I can't move to London without Ben.) (+1 Turn: Speaker 2: I understand that would be difficult.)",negative,18_Spkr_1,18_Spkr_2,per:girl/boyfriend,Speaker 1,Speaker 2,187,Speaker 1,Speaker 2,positive,0.48,-0.35,0.5132477440400283,0.1566265060240964,0.13,0.48,False,0.48,0.35
174,"(-1 Turn: Speaker 1: Chandler, we said we would meet at the coffeehouse at six.) (Target Turn: Speaker 2: We said seven!) (+1 Turn: Speaker 1: We said six!)",negative,174_Spkr_2,174_Spkr_1,per:girl/boyfriend,Speaker 2,Speaker 1,156,Speaker 2,Speaker 1,positive,0.27,-0.0,0.3330231891415256,1.0,0.27,0.27,False,0.27,0.0
210,"(-1 Turn: N/A) (Target Turn: Speaker 1: So uh, you and Mona, been a while now. How’s it going?) (+1 Turn: Speaker 2: Ah, it’s good. It’s going good. I mean, we get along great. She’s, she’s so…)",positive,Mona,210_Spkr_2,per:girl/boyfriend,Mona,Speaker 2,194,Mona,Speaker 2,positive,0.4,-0.0,0.4511883639059736,1.0,0.4,0.4,False,0.4,0.0
62,"(-1 Turn: Speaker 1: Hey are you getting Monica and Chandler an engagement present?) (Target Turn: Speaker 2: I don’t know. Y’know, they didn’t get us anything.) (+1 Turn: Speaker 1: Thank you!)",negative,62_Spkr_2,62_Spkr_1,per:girl/boyfriend,Speaker 2,Speaker 1,194,Speaker 2,Speaker 1,positive,0.44,-0.0,0.4831486655083008,1.0,0.44,0.44,False,0.44,0.0
354,"(-1 Turn: Speaker 1: Hey! Ross, listen can you come to a charity event tonight?) (Target Turn: Speaker 2: Oh no, I have plans with Elizabeth.) (+1 Turn: Speaker 3: Oh, so you’re already doing your part for the kids.)",negative,Elizabeth,354_Spkr_2,per:girl/boyfriend,Elizabeth,Speaker 2,216,Elizabeth,Speaker 2,positive,0.33,-0.0,0.39042909270369075,1.0,0.33,0.33,False,0.33,0.33
143,"(-1 Turn: Speaker 7: Wait, if that’s his favourite area, why is he being so mean to it?) (Target Turn: Speaker 8: Well, this is ironic. Of your last two boyfriends, Richard didn’t want to have kids, and from the looks of it, now Pete can’t.) (+1 Turn: Speaker 6: Ohh!!)",negative,Richard,143_Spkr_5,per:girl/boyfriend,Richard,Speaker 5,269,Richard,Speaker 5,negative,0.19,-0.29,0.35273533292196535,0.2083333333333333,0.09999999999999998,0.29,True,0.19,0.36
174,"(-1 Turn: N/A) (Target Turn: Speaker 1: Chandler, we said we would meet at the coffeehouse at six.) (+1 Turn: Speaker 2: We said seven!)",negative,174_Spkr_1,174_Spkr_3,per:girl/boyfriend,Speaker 1,Speaker 3,136,Speaker 1,Speaker 3,positive,0.28,-0.0,0.34295318018494325,1.0,0.28,0.28,False,0.28,0.0
199,"(-1 Turn: Speaker 2: Phoebe, oh my God! Wh-wh-what are you doing here?) (Target Turn: Speaker 1: I need to talk to you, it’s pretty urgent. It’s about Monica and Chandler.) (+1 Turn: Speaker 2: Oh my God! Of course, of course. Umm, would you please excuse me for a moment? Umm, do you know each other’s hometowns? Why don’t you… Wh-what’s going on?)",negative,Monica,Chandler,per:girl/boyfriend,Monica,Chandler,349,Monica,Chandler,positive,0.32,-0.26,0.38121660819385916,0.10344827586206895,0.06,0.32,False,0.32,0.26
14,"(-1 Turn: Speaker 1: Hey-hey, you guys oh hurry up, get some, there’s a whole cart outside…) (Target Turn: Speaker 2: Goodbye Geller.) (+1 Turn: Speaker 3: Now, hold on! Hold on! Look, look, your daughter and I are supposed to leave tonight for our honeymoon, now-now you-you tell her that I’m gonna be at that airport and I hope that she’ll be there too! Oh yeah, I said Rachel’s name, but it didn’t mean anything, Okay? She’s-she’s just a friend and that’s all! That’s all! Now just tell Emily that I love her and that I can’t imagine spending my life with anyone else. Please, promise me that you’ll tell her that.)",positive,14_Spkr_2,Emily,per:girl/boyfriend,Speaker 2,Emily,618,Speaker 2,Emily,positive,0.41,-0.0,0.4593591046906834,1.0,0.41,0.41,False,0.47,0.0
197,"(-1 Turn: Speaker 2: Actually, tomorrow night kinda depends on how tonight goes.) (Target Turn: Speaker 3: Oh, uh, listen, about tonight...) (+1 Turn: Speaker 2: No, no, no, don't you dare bail on me. The only reason she's goin' out with me is because I said I could bring a friend for her friend.)",negative,197_Spkr_3,197_Spkr_2,per:girl/boyfriend,Speaker 3,Speaker 2,298,Speaker 3,Speaker 2,positive,0.28,-0.18,0.34295318018494325,0.21739130434782614,0.10000000000000003,0.28,True,0.28,0.44
209,"(-1 Turn: Speaker 1: We've lost visual contact with the suspect.) (Target Turn: Speaker 2: Okay, now I've really have to go!) (+1 Turn: Speaker 3: But it's just so unfair that our date has to get cut short just 'cause some guy shot at a store clerk.)",negative,209_Spkr_2,209_Spkr_3,per:girl/boyfriend,Speaker 2,Speaker 3,250,Speaker 2,Speaker 3,negative,0.21,-0.44,0.4831486655083008,0.35384615384615387,0.23,0.44,False,0.39,0.48
34,"(-1 Turn: Speaker 1: Hey!) (Target Turn: Speaker 2: Hi.) (+1 Turn: Speaker 1: I just came over to drop off…nothing. So that weekend kinda sucked, huh?)",negative,34_Spkr_2,34_Spkr_1,per:girl/boyfriend,Speaker 2,Speaker 1,151,Speaker 2,Speaker 1,negative,0.0,-0.46,0.49842393093394455,1.0,0.46,0.46,False,0.26,0.46
339,(-1 Turn: Speaker 1: Ma! What're you doing here?) (Target Turn: Speaker 2: I came to give you this and this.) (+1 Turn: Speaker 1: Oww! Big ring!),positive,339_Spkr_2,339_Spkr_1,per:children,Speaker 2,Speaker 1,146,Speaker 2,Speaker 1,positive,0.38,-0.0,0.4344745613004629,1.0,0.38,0.38,False,0.38,0.0
187,"(-1 Turn: Speaker 2: Mom!) (Target Turn: Speaker 3: Sweetie! So this is where you work? Oh, it's wonderful! Is it a living room? Is it a restaurant? Who can tell? But I guess that's the fun.) (+1 Turn: Speaker 2: Pretty much.)",positive,187_Spkr_3,Monica,per:children,Speaker 3,Monica,226,Speaker 3,Monica,positive,0.52,-0.0,0.5415939886947765,1.0,0.52,0.52,False,0.52,0.0
66,"(-1 Turn: Speaker 1: Okay, so we went to the beach, because Phoebe found out about this lady who knew her mom and dad, and I don’t really know what happened with that.) (Target Turn: Speaker 2: I’m your mother.) (+1 Turn: Speaker 3: Ehh?)",positive,66_Spkr_2,66_Spkr_3,per:children,Speaker 2,Speaker 3,238,Speaker 2,Speaker 3,positive,0.39,-0.0,0.4428941381878261,1.0,0.39,0.39,False,0.39,0.22
47,"(-1 Turn: N/A) (Target Turn: Speaker 1: Oh my god, there's an unattractive nude man playing the cello.) (+1 Turn: Speaker 2: Yeah, well just be glad he's not playing a smaller instrument.)",negative,47_Spkr_1,47_Spkr_2,per:children,Speaker 1,Speaker 2,188,Speaker 1,Speaker 2,positive,0.36,-0.25,0.41725174762601036,0.180327868852459,0.10999999999999999,0.36,False,0.44,0.36
291,"(-1 Turn: Speaker 1: Mom, uh, Chandler was just saying how beautiful your sweater is.) (Target Turn: Speaker 2: Oh, thank you Chandler! I just bought it.) (+1 Turn: Speaker 3: Oh, yes. Well it’s very beautiful. It’s cream-colored and tight. I don’t mean tight, I mean it’s not too tight, not that I was looking at)",positive,291_Spkr_2,291_Spkr_1,per:children,Speaker 2,Speaker 1,314,Speaker 2,Speaker 1,positive,0.47,-0.34,0.5058914257438583,0.16049382716049376,0.12999999999999995,0.47,False,0.53,0.44
41,"(-1 Turn: Speaker 1: Ok, thanks for coming, I hope you guys had fun.) (Target Turn: Speaker 2: Alright, Monica dear, I'm gonna hit the road. Now I've left my 10 verbs on the table. And you be sure and send me that finished poem.) (+1 Turn: Speaker 1: Ok will do. So glad you came.)",positive,41_Spkr_2,41_Spkr_3,per:children,Speaker 2,Speaker 3,281,Speaker 2,Speaker 3,positive,0.51,-0.0,0.5346660690256866,1.0,0.51,0.51,False,0.51,0.0
304,"(-1 Turn: Speaker 2: Oh, hey Aunt Millie.) (Target Turn: Speaker 3: Isn’t it a beautiful wedding?!) (+1 Turn: Speaker 2: Yes, yes it is. It’s uh… Every time on the lips! Why?! Why on lips?!)",positive,304_Spkr_3,304_Spkr_2,per:children,Speaker 3,Speaker 2,190,Speaker 3,Speaker 2,positive,0.22,-0.0,0.28107626656807383,1.0,0.22,0.22,False,0.22,0.0
295,"(-1 Turn: Speaker 1: Ma, I don't mean to be disrespectful, but... what the hell are you talking about?! I mean, what about you?) (Target Turn: Speaker 2: Me? I'm fine. Look, honey, in an ideal world, there'd be no her, and your father would look like Sting. And I'll tell you something else. Ever since that poodle-stuffer came along, he's been so ashamed of himself that he's been more attentive, he's been more loving... I mean, it's like every day's our anniversary.) (+1 Turn: Speaker 1: I'm...happy...for you?)",positive,295_Spkr_2,295_Spkr_1,per:children,Speaker 2,Speaker 1,515,Speaker 2,Speaker 1,positive,0.43,-0.34,0.4753374578934072,0.11688311688311684,0.08999999999999997,0.43,False,0.43,0.37
152,"(-1 Turn: N/A) (Target Turn: Speaker 1: Kids, I spoke to a doctor and picked up this pamphlets on how to get pregnant.) (+1 Turn: Speaker 2: Hey dad!)",neutral,152_Spkr_1,152_Spkr_2,per:children,Speaker 1,Speaker 2,150,Speaker 1,Speaker 2,negative,0.0,-0.0,0.0,0.0,0.0,0.0,True,0.27,0.0
16,"(-1 Turn: Speaker 2: You know, Chappy's too small to handle all this snow. Someone's gonna have to walk him down the aisle.) (Target Turn: Speaker 4: So technically, would this person be in the wedding?) (+1 Turn: Speaker 2: I guess.)",neutral,16_Spkr_4,Chappy,per:children,Speaker 4,Chappy,234,Speaker 4,Chappy,negative,0.22,-0.33,0.39042909270369075,0.2,0.11000000000000001,0.33,False,0.22,0.4
187,"(-1 Turn: Speaker 2: Mom!) (Target Turn: Speaker 3: Sweetie! So this is where you work? Oh, it's wonderful! Is it a living room? Is it a restaurant? Who can tell? But I guess that's the fun.) (+1 Turn: Speaker 2: Pretty much.)",positive,187_Spkr_3,187_Spkr_2,per:children,Speaker 3,Speaker 2,226,Speaker 3,Speaker 2,positive,0.52,-0.0,0.5415939886947765,1.0,0.52,0.52,False,0.52,0.0
170,"(-1 Turn: Speaker 1:  I've been here the whole time!) (Target Turn: Speaker 2: Joey, we just saw you come in. You ran past us on the stairs.) (+1 Turn: Speaker 3: I don't care that you left. I'm just glad that you're here. Thanks you guys!)",negative,170_Spkr_2,170_Spkr_5,per:children,Speaker 2,Speaker 5,240,Speaker 2,Speaker 5,positive,0.44,-0.21,0.4831486655083008,0.35384615384615387,0.23,0.44,False,0.51,0.21
124,"(-1 Turn: Speaker 1: Hi! I’m so glad you’re here, but it’s gonna be a while. I-I wished you’d called first.) (Target Turn: Speaker 2: Oh that’s all right, I’m coming back later with your father.) (+1 Turn: Speaker 1: Oh good.)",positive,124_Spkr_2,124_Spkr_1,per:children,Speaker 2,Speaker 1,226,Speaker 2,Speaker 1,positive,0.49,-0.0,0.5204945410251058,1.0,0.49,0.49,False,0.49,0.0
92,"(-1 Turn: Speaker 1: I just wanna thank you for being there for me today. And I'm sorry I,I almost broke your hand.) (Target Turn: Speaker 2: That's ok. I'm sorry I poisoned you.) (+1 Turn: Speaker 1: Yeah. Hey, remember the time I jammed that pencil into your hand?)",negative,92_Spkr_2,Ben,per:other_family,Speaker 2,Ben,267,Speaker 2,Ben,negative,0.3,-0.37,0.42592773880356394,0.10447761194029853,0.07,0.37,False,0.37,0.37
52,"(-1 Turn: Speaker 2: Well, maybe since the age of 9, Frannie’s made some new friends.) (Target Turn: Speaker 4: Well l-look okay, it’s probably just a mistake. Let me call Aunt Sheryl okay? Maybe you are invited and the invitation just got lost in the mail.) (+1 Turn: Speaker 5: Yeah, well you call her and tell her that y’know when we were kids her precious little Frannie tried to undress me several times, okay? And if I hadn’t have stopped her, there probably wouldn’t even be a wedding to go too.)",positive,Aunt Sheryl,52_Spkr_4,per:other_family,Aunt Sheryl,Speaker 4,503,Aunt Sheryl,Speaker 4,positive,0.5,-0.28,0.5276334472589853,0.282051282051282,0.21999999999999997,0.5,False,0.53,0.33
55,"(-1 Turn: Speaker 1: No shouting, but we still need a name for this little guy.) (Target Turn: Speaker 2: How 'bout Ben?) (+1 Turn: Speaker 1: I like Ben.)",positive,Ben,55_Spkr_2,per:other_family,Ben,Speaker 2,155,Ben,Speaker 2,negative,0.26,-0.26,0.32294312550183535,0.0,0.0,0.26,True,0.26,0.38
55,"(-1 Turn: Speaker 1: No shouting, but we still need a name for this little guy.) (Target Turn: Speaker 2: How 'bout Ben?) (+1 Turn: Speaker 1: I like Ben.)",positive,Ben,55_Spkr_4,per:other_family,Ben,Speaker 4,155,Ben,Speaker 4,negative,0.26,-0.26,0.32294312550183535,0.0,0.0,0.26,True,0.26,0.38
58,"(-1 Turn: N/A) (Target Turn: Speaker 1: Aunt Syl, stop yelling! All I'm saying is that if you had told me vegetarian lasagna, I would have made vegetarian lasagna. Well, the meat's only every third layer, maybe you could scrape.) (+1 Turn: Speaker 1: Aunt Syl, I did this as a favor, I am not a caterer. What do you want me to do with a dozen lasagnas? Nice talk, Aunt Syl. You kiss Uncle Freddie with that mouth?)",negative,58_Spkr_1,Aunt Syl,per:other_family,Speaker 1,Aunt Syl,414,Speaker 1,Aunt Syl,positive,0.35,-0.0,0.4084446356331849,1.0,0.35,0.35,False,0.35,0.24
58,"(-1 Turn: N/A) (Target Turn: Speaker 1: Aunt Syl, stop yelling! All I'm saying is that if you had told me vegetarian lasagna, I would have made vegetarian lasagna. Well, the meat's only every third layer, maybe you could scrape.) (+1 Turn: Speaker 1: Aunt Syl, I did this as a favor, I am not a caterer. What do you want me to do with a dozen lasagnas? Nice talk, Aunt Syl. You kiss Uncle Freddie with that mouth?)",positive,Aunt Syl,Uncle Freddie,per:other_family,Aunt Syl,Uncle Freddie,414,Aunt Syl,Uncle Freddie,positive,0.35,-0.0,0.4084446356331849,1.0,0.35,0.35,False,0.35,0.24
123,"(-1 Turn: Speaker 2: You understood that?) (Target Turn: Speaker 3: Yeah, my uncle Sal has a really big tongue.) (+1 Turn: Speaker 2: Is he the one with the beautiful wife?)",neutral,123_Sal,123_Spkr_3,per:other_family,Sal,Speaker 3,173,Sal,Speaker 3,positive,0.26,-0.0,0.32294312550183535,1.0,0.26,0.26,False,0.26,0.0
52,"(-1 Turn: Speaker 1: All right, I should get going, big day a work. Y’know I’m in a coma? Today, they do this test on me and it turns out I’m not brain dead.) (Target Turn: Speaker 2: So…) (+1 Turn: Speaker 1: Ah-ah-ah Mr. Smartie Pants, it’s just not my character that’s not brain dead. Hey, so Pheebs, we still on for tonight?)",neutral,52_Spkr_2,cousin Glenn,per:other_family,Speaker 2,cousin Glenn,329,Speaker 2,cousin Glenn,positive,0.38,-0.26,0.4344745613004629,0.1875,0.12,0.38,False,0.42,0.45
134,"(-1 Turn: N/A) (Target Turn: Speaker 1: Look.  Joey, do you know we can see you from here?) (+1 Turn: Speaker 2: How come Richard looks so much cooler with one of these than me?)",neutral,134_Spkr_1,Sylvia,per:other_family,Speaker 1,Sylvia,178,Speaker 1,Sylvia,positive,0.24,-0.0,0.302323673928969,1.0,0.24,0.24,False,0.24,0.0
