subject,object,relation,conversation_id,sentence,psotive,negetive
Speaker 1,Carol,per:girl/boyfriend,conv_388,"[SPEAKER] Speaker 1: Oh mom! Okay, umm, her name is [E2]Carol[/E2]. And she's really pretty. And smart. And uh, she's-she's on the lacrosse team and the golf team. Can you believe it? She plays for both teams!",1,0
Speaker 1,Missy Goldberg,per:positive_impression,conv_61,"[SPEAKER] Speaker 1: Hey, there's [E2]Missy Goldberg[/E2]. You gotta remember her.",1,0
Speaker 1,Chandler,per:positive_impression,conv_336,"[SPEAKER] Speaker 2: Yeah, well, I guess I have forgotten about Joey and clearly you've forgotten about [E2]Chandler[/E2]!",1,0
Alice,Speaker 3,per:girl/boyfriend,conv_629,"[SPEAKER] Speaker 3: Okay, so what you used to have with Rachel, is what I've got with [E1]Alice[/E1].",0,0
Speaker 2,Barry,per:girl/boyfriend,conv_350,"[SPEAKER] Speaker 1: Anyway.. um.. So, you- uh- you nervous about [E2]Barry[/E2] tomorrow?",0,1
Emillio,Marie,per:children,conv_881,"[SPEAKER] Speaker 1: I’m so excited about having Monica come on board with us. Although I do feel bad about having fired chef [E1]Emillio[/E1], it’s like losing a member of the family. Of course, that literally is the case for several of you. Tony, Carlos, [E2]Marie[/E2], please, tell your father how much we’re gonna miss him. Now, I know that Monica has a lot of great ideas for this place, well, you all read the review. So without much further ado, I present to you our new head chef.",1,0
Speaker 1,Mrs. Tribbiani,per:parents,conv_594,"[SPEAKER] Speaker 2: Hello? Yeah, hi! [E2]Mrs. Tribbiani[/E2]? Hi, this is Monica Geller. Yeah I’m just calling to say that Chandler and I uh, really hope you can make it to the wedding. Yeah, apparently a bunch of invitations that we sent weren’t delivered. Umm, I guess there was some screw up at the damn post office! T-Tell me about it! Yeah, yeah, the US Post Office? No, more like US lost office! What are they Irish?!",0,1
Speaker 2,Gandolf,per:positive_impression,conv_99,"[SPEAKER] Speaker 2: Joey, you are gonna love this guy. [E2]Gandolf[/E2] is like the party wizard!",1,0
Speaker 3,Ben,per:children,conv_552,[SPEAKER] Speaker 5: Hi [E2]Ben[/E2]!,0,0
Speaker 2,Mike,per:positive_impression,conv_650,"[SPEAKER] Speaker 2: No, I know, this way when I go to the party later [E2]Mike[/E2] will know I am over him cause I'm gonna smell like another guy. Yeah.",0,1
Janice,Speaker 5,per:girl/boyfriend,conv_224,"[SPEAKER] Speaker 5: Yeah, 'cause I already asked [E1]Janice[/E1].",0,0
Frank Jr.Jr.,Alice,per:parents,conv_252,"[SPEAKER] Speaker 1: [E2]Alice[/E2] would never go for it, right?",1,0
Speaker 2,Monica,per:friends,conv_130,"[SPEAKER] Speaker 1: All right. Okay. You and [E2]Monica[/E2], friends for a long time, and sure there are rules, but then you went to London. Oh, no, but that’s different. I mean, there are rules there, too! You know what I mean?",0,1
Speaker 1,Ben,per:other_family,conv_45,"[SPEAKER] Speaker 3: Oh, I’m just over here with [E2]Ben[/E2]. I thought we’d say hi.",1,0
Jiminy Billy Bob,Speaker 2,per:children,conv_268,"[SPEAKER] Speaker 2: We had a good time. By the way, I wanted to ask you something. It would really mean a lot to me, if the baby was a boy, that you name him after my father, [E1]Jiminy Billy Bob[/E1].",1,0
Monica,Richard,per:girl/boyfriend,conv_588,"[SPEAKER] Speaker 1: Umm, Chandler, you do realize that those ideas are probably already in [E1]Monica[/E1]'s head.",0,1
Speaker 2,Rachel,per:girl/boyfriend,conv_678,[SPEAKER] Speaker 1: How could you not tell Mona that [E2]Rachel[/E2] is living with you?,0,1
Emily,Speaker 1,per:spouse,conv_114,"[SPEAKER] Speaker 2: Well, I-I-I don't know how this fits into your whole ""seizing"" thing but um, [E1]Emily[/E1] called you today.",0,1
Speaker 1,Ross,per:friends,conv_458,"[SPEAKER] Speaker 2: Oh my God, the air purifier! [E2]Ross[/E2]'s air purifier! All I heard through 4 years of college was.",0,1
Speaker 4,Alan,per:positive_impression,conv_413,[SPEAKER] Speaker 4: [E2]Alan[/E2].,0,0
Deliah,Speaker 1,per:girl/boyfriend,conv_169,[SPEAKER] Speaker 1: Her name is [E1]Deliah[/E1].,0,0
Rachel,Speaker 2,per:friends,conv_804,"[SPEAKER] Speaker 2: Yeah, I'm a friend of [E1]Rachel[/E1] Green's. Uhm, actually we met at the Christmas party about two years ago.",1,0
Ross,Speaker 2,per:friends,conv_489,"[SPEAKER] Speaker 2: That is great. Hey, y’know who doesn’t have to job hunt? [E1]Ross[/E1]. He works at the university.",1,0
Speaker 2,Ross,per:positive_impression,conv_333,"[SPEAKER] Speaker 2: We have too! I mean what if [E2]Ross[/E2]'s hears that and then calls her back and then they get back together? Is that what you want? [E2]Ross[/E2] back with that controlling, neurotic, crazy Emily? The Emily that wouldn't let him see you?",0,1
Speaker 1,Hannigan,per:spouse,conv_293,"[SPEAKER] Speaker 1: Okay, well, I just don't, I don't know how it works exactly. See, my name is Buffay and my husband's name is [E2]Hannigan[/E2], so is it supposed to be Buffay-[E2]Hannigan[/E2] or [E2]Hannigan[/E2]-Buffay?",0,0
Speaker 2,Julie Grath,per:girl/boyfriend,conv_631,"[SPEAKER] Speaker 2: [E2]Julie Grath[/E2], my camp girlfriend.",0,0
Sue Angle,Speaker 4,per:friends,conv_757,"[SPEAKER] Speaker 4: Phoebe, these are our friends, Tom and [E1]Sue Angle[/E1].",1,0
Emma,Speaker 2,per:other_family,conv_84,[SPEAKER] Speaker 2: So when do I get to meet [E1]Emma[/E1] and show her this?,0,0
Sting,Speaker 2,per:negative_impression,conv_326,[SPEAKER] Speaker 1: You’re gonna love me so much. I got [E1]Sting[/E1] tickets!!,1,0
Speaker 1,Rachel,per:positive_impression,conv_894,[SPEAKER] Speaker 1: So I’m thinking about asking [E2]Rachel[/E2] out tonight. Y'know maybe play her that song we wrote last week.,1,0
Speaker 2,Emma,per:other_family,conv_701,[SPEAKER] Speaker 1: Ehm... Her name is [E2]Emma[/E2].,0,0
Speaker 3,Jessica Lockhart,per:positive_impression,conv_774,"[SPEAKER] Speaker 1: Uh Cecilia Monroe, she plays [E2]Jessica Lockhart[/E2].",1,0
Speaker 2,Julie,per:girl/boyfriend,conv_309,"[SPEAKER] Speaker 2: I uh, I just got back from uh, from [E2]Julie[/E2]'s.",0,0
Rachel,Speaker 1,per:girl/boyfriend,conv_629,"[SPEAKER] Speaker 1: No the man's right, that's what I had with [E1]Rachel[/E1].",1,0
Emma,Speaker 1,per:parents,conv_954,"[SPEAKER] Speaker 1: Hi... There she is. Hi [E1]Emma[/E1]. Oh my God, I missed you. Oh [E1]Emma[/E1], I missed you so much. Hey... Did you have a good time with grandma Green? Huh? Did she give you a bottle of anti-depressants again to use as a rattle?",1,0
