conversation_id,subject,object,relation,sentence,gold_emotions,polarity
conv_45,Speaker 1,Ben,per:other_family,"[SPEAKER] Speaker 3: Oh, I’m just over here with [E2]Ben[/E2]. I thought we’d say hi.",optimism,positive
conv_268,Jiminy Billy Bob,Speaker 2,per:children,"[SPEAKER] Speaker 2: We had a good time. By the way, I wanted to ask you something. It would really mean a lot to me, if the baby was a boy, that you name him after my father, [E1]Jiminy Billy Bob[/E1].",caring,positive
conv_588,Monica,Richard,per:girl/boyfriend,"[SPEAKER] Speaker 1: Umm, Chandler, you do realize that those ideas are probably already in [E1]Monica[/E1]'s head.",fear,negative
conv_678,Speaker 2,Rachel,per:girl/boyfriend,[SPEAKER] Speaker 1: How could you not tell Mona that [E2]Rachel[/E2] is living with you?,diappointment,negative
conv_114,Emily,Speaker 1,per:spouse,"[SPEAKER] Speaker 2: Well, I-I-I don't know how this fits into your whole ""seizing"" thing but um, [E1]Emily[/E1] called you today.",sadness,negative
conv_458,Speaker 1,Ross,per:friends,"[SPEAKER] Speaker 2: Oh my God, the air purifier! [E2]Ross[/E2]'s air purifier! All I heard through 4 years of college was.",annoyance,negative
conv_413,Speaker 4,Alan,per:positive_impression,[SPEAKER] Speaker 4: [E2]Alan[/E2].,neutral,neutral
conv_169,Deliah,Speaker 1,per:girl/boyfriend,[SPEAKER] Speaker 1: Her name is [E1]Deliah[/E1].,neutral,neutral
conv_804,Rachel,Speaker 2,per:friends,"[SPEAKER] Speaker 2: Yeah, I'm a friend of [E1]Rachel[/E1] Green's. Uhm, actually we met at the Christmas party about two years ago.",neutral,neutral
conv_489,Ross,Speaker 2,per:friends,"[SPEAKER] Speaker 2: That is great. Hey, y’know who doesn’t have to job hunt? [E1]Ross[/E1]. He works at the university.",approval,positive
conv_333,Speaker 2,Ross,per:positive_impression,"[SPEAKER] Speaker 2: We have too! I mean what if [E2]Ross[/E2]'s hears that and then calls her back and then they get back together? Is that what you want? [E2]Ross[/E2] back with that controlling, neurotic, crazy Emily? The Emily that wouldn't let him see you?",annoyance,negative
conv_293,Speaker 1,Hannigan,per:spouse,"[SPEAKER] Speaker 1: Okay, well, I just don't, I don't know how it works exactly. See, my name is Buffay and my husband's name is [E2]Hannigan[/E2], so is it supposed to be Buffay-[E2]Hannigan[/E2] or [E2]Hannigan[/E2]-Buffay?",neutral,neutral
conv_631,Speaker 2,Julie Grath,per:girl/boyfriend,"[SPEAKER] Speaker 2: [E2]Julie Grath[/E2], my camp girlfriend.",neutral,neutral
conv_757,Sue Angle,Speaker 4,per:friends,"[SPEAKER] Speaker 4: Phoebe, these are our friends, Tom and [E1]Sue Angle[/E1].",approval,positive
conv_84,Emma,Speaker 2,per:other_family,[SPEAKER] Speaker 2: So when do I get to meet [E1]Emma[/E1] and show her this?,neutral,neutral
conv_326,Sting,Speaker 2,per:negative_impression,[SPEAKER] Speaker 1: You’re gonna love me so much. I got [E1]Sting[/E1] tickets!!,optimism,positive
conv_894,Speaker 1,Rachel,per:positive_impression,[SPEAKER] Speaker 1: So I’m thinking about asking [E2]Rachel[/E2] out tonight. Y'know maybe play her that song we wrote last week.,caring,positive
conv_701,Speaker 2,Emma,per:other_family,[SPEAKER] Speaker 1: Ehm... Her name is [E2]Emma[/E2].,neutral,neutral
conv_774,Speaker 3,Jessica Lockhart,per:positive_impression,"[SPEAKER] Speaker 1: Uh Cecilia Monroe, she plays [E2]Jessica Lockhart[/E2].",neutral,neutral
conv_309,Speaker 2,Julie,per:girl/boyfriend,"[SPEAKER] Speaker 2: I uh, I just got back from uh, from [E2]Julie[/E2]'s.",neutral,neutral
conv_629,Rachel,Speaker 1,per:girl/boyfriend,"[SPEAKER] Speaker 1: No the man's right, that's what I had with [E1]Rachel[/E1].",approval,positive
conv_954,Emma,Speaker 1,per:parents,"[SPEAKER] Speaker 1: Hi... There she is. Hi [E1]Emma[/E1]. Oh my God, I missed you. Oh [E1]Emma[/E1], I missed you so much. Hey... Did you have a good time with grandma Green? Huh? Did she give you a bottle of anti-depressants again to use as a rattle?",love,positive
